profesorado,nombre,anio,cuatrimestre,plan,libre_habilitado
Profesorado de Educación Secundaria en Matemática,Geometría II,3,2,3769-13,
Profesorado de Educación Secundaria en Matemática,Laboratorio Computación II,3,2,3769-13,
Profesorado de Educación Secundaria en Matemática,Sociología de la Educación,3,2,3769-13,
Profesorado de Educación Secundaria en Matemática,Didáctica de la Matemática II,3,Anual,3769-13,
Profesorado de Educación Secundaria en Matemática,Física,3,Anual,3769-13,
Profesorado de Educación Secundaria en Matemática,Práctica III: Práctica de la Enseñanza,3,Anual,3769-13,
Profesorado de Educación Secundaria en Matemática,Probabilidad y Estadística,3,Anual,3769-13,
Profesorado de Educación Secundaria en Matemática,Cálculo numérico,4,1,3769-13,
Profesorado de Educación Secundaria en Matemática,Educación Sexual Integral,4,1,3769-13,
Profesorado de Educación Secundaria en Matemática,Historia de la Matemática,4,1,3769-13,
Profesorado de Educación Secundaria en Matemática,Proyectos Educativos con TIC,4,1,3769-13,
Profesorado de Educación Secundaria en Matemática,Análisis III,4,2,3769-13,
Profesorado de Educación Secundaria en Matemática,EDI,4,2,3769-13,
Profesorado de Educación Secundaria en Matemática,Geometría III,4,2,3769-13,
Profesorado de Educación Secundaria en Matemática,Didáctica de la Matemática III,4,Anual,3769-13,
Profesorado de Educación Secundaria en Matemática,Investigación Educativa,4,Anual,3769-13,
Profesorado de Educación Secundaria en Matemática,Práctica IV: Residencia Pedagógica,4,Anual,3769-13
